num,name,address1,address2,address3,city,state,zip,county,phone
61325,PIONEERS MEDICAL CENTER,345 CLEVELAND STREET,NULL,NULL,MEEKER,CO,81641,RIO BLANCO,9708785047
61326,PIKES PEAK REGIONAL HOSPITAL,16420 HIGHWAY 24,NULL,NULL,WOODLAND PARK,CO,80863,TELLER,7196879999
61327,SOUTHWEST MEMORIAL HOSPITAL,1311 N MILDRED RD,NULL,NULL,CORTEZ,CO,81321,MONTEZUMA,9705656666
61328,PAGOSA MOUNTAIN HOSPITAL,95 SOUTH PAGOSA BOULEVARD,NULL,NULL,PAGOSA SPRINGS,CO,81147,ARCHULETA,9707313700
70001,HOSPITAL OF ST RAPHAEL,1450 CHAPEL ST,NULL,NULL,NEW HAVEN,CT,6511,NEW HAVEN,2037893000
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,114 WOODLAND STREET,NULL,NULL,HARTFORD,CT,6105,HARTFORD,8607144000
70003,DAY KIMBALL HOSPITAL,320 POMFRET STREET,NULL,NULL,PUTNAM,CT,6260,WINDHAM,8609286541
70004,SHARON HOSPITAL,"50 HOSPITAL HILL ROAD, PO BOX 789",NULL,NULL,SHARON,CT,6069,LITCHFIELD,8603644228
70005,WATERBURY HOSPITAL,64 ROBBINS ST,NULL,NULL,WATERBURY,CT,6721,NEW HAVEN,2035736000
70006,STAMFORD HOSPITAL,SHELBURNE RD & WEST BROAD ST,NULL,NULL,STAMFORD,CT,6904,FAIRFIELD,2032761000
70007,LAWRENCE & MEMORIAL HOSPITAL,365 MONTAUK AVE,NULL,NULL,NEW LONDON,CT,6320,NEW LONDON,8604420711
70008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL RD,NULL,NULL,STAFFORD SPRINGS,CT,6076,TOLLAND,8606844251
70010,BRIDGEPORT HOSPITAL,267 GRANT STREET,NULL,NULL,BRIDGEPORT,CT,6610,FAIRFIELD,2033843000
70011,CHARLOTTE HUNGERFORD HOSPITAL,540 LITCHFIELD ST,NULL,NULL,TORRINGTON,CT,6790,LITCHFIELD,8604966666
70012,ROCKVILLE GENERAL HOSPITAL,31 UNION ST,NULL,NULL,ROCKVILLE,CT,6066,TOLLAND,8608725160
70015,NEW MILFORD HOSPITAL,21 ELM ST,NULL,NULL,NEW MILFORD,CT,6776,LITCHFIELD,8603552611
70016,SAINT MARYS HOSPITAL,56 FRANKLIN ST,NULL,NULL,WATERBURY,CT,6706,NEW HAVEN,2035746000
70017,MIDSTATE MEDICAL CENTER,435 LEWIS AVE,NULL,NULL,MERIDEN,CT,6450,NEW HAVEN,2036948200
70018,GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,NULL,NULL,GREENWICH,CT,6830,FAIRFIELD,2038633000
70019,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,NULL,NULL,MILFORD,CT,6460,NEW HAVEN,2038764000
70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,NULL,NULL,MIDDLETOWN,CT,6457,MIDDLESEX,8603446000
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,112 MANSFIELD AVE,NULL,NULL,WILLIMANTIC,CT,6226,WINDHAM,8604569116
70022,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NULL,NULL,NEW HAVEN,CT,6504,NEW HAVEN,2036884242
70024,WILLIAM W BACKUS HOSPITAL,326 WASHINGTON ST,NULL,NULL,NORWICH,CT,6360,NEW LONDON,8608898331
70025,HARTFORD HOSPITAL,80 SEYMOUR STREET,NULL,NULL,HARTFORD,CT,6102,HARTFORD,8605455000
70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,NULL,NULL,MANCHESTER,CT,6040,HARTFORD,8606474780
70028,ST VINCENT'S MEDICAL CENTER,2800 MAIN ST,NULL,NULL,BRIDGEPORT,CT,6606,FAIRFIELD,2035765551
70029,BRISTOL HOSPITAL,BREWSTER RD,NULL,NULL,BRISTOL,CT,6010,HARTFORD,8605853000
70031,GRIFFIN HOSPITAL,130 DIVISION ST,NULL,NULL,DERBY,CT,6418,NEW HAVEN,2037327500
70033,DANBURY HOSPITAL,24 HOSPITAL AVE,NULL,NULL,DANBURY,CT,6810,FAIRFIELD,2037977000
70034,NORWALK HOSPITAL ASSOCIATION,24 STEVENS STREET,NULL,NULL,NORWALK,CT,6856,FAIRFIELD,2038522000
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,NULL,NULL,NEW BRITAIN,CT,6050,HARTFORD,8602245011
70036,JOHN DEMPSEY HOSPITAL,263 FARMINGTON AVE,NULL,NULL,FARMINGTON,CT,6032,HARTFORD,8606791145
70039,MASONIC HOME AND HOSPITAL,22 MASONIC AVE,NULL,NULL,WALLINGFORD,CT,6492,NEW HAVEN,2036795900
70040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,NULL,NULL,WEST HARTFORD,CT,6117,HARTFORD,8605233800
80001,CHRISTIANA HOSPITAL,4755 OGLETOWN-STANTON ROAD,NULL,NULL,NEWARK,DE,19718,NEW CASTLE,3027331000
80003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,NULL,NULL,WILMINGTON,DE,19805,NEW CASTLE,3024214100
80004,BAYHEALTH - KENT GENERAL HOSPITAL,640 S STATE STREET,NULL,NULL,DOVER,DE,19901,KENT,3027447001
80006,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,NULL,NULL,SEAFORD,DE,19973,SUSSEX,3026296611
80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,NULL,NULL,LEWES,DE,19958,SUSSEX,3026453300
90001,GEORGE WASHINGTON UNIV HOSPITAL,900 23RD ST NW,NULL,NULL,WASHINGTON,DC,20037,DISTRICT OF COLUMBIA,2027164605
90003,HOWARD UNIVERSITY HOSPITAL,2041 GEORGIA AVE NW,NULL,NULL,WASHINGTON,DC,20060,DISTRICT OF COLUMBIA,2027456100
90004,GEORGETOWN UNIVERSITY HOSPITAL,3800 RESERVOIR RD,NULL,NULL,WASHINGTON,DC,20007,DISTRICT OF COLUMBIA,2027843000
90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,NULL,NULL,WASHINGTON,DC,20016,DISTRICT OF COLUMBIA,2025374680
90006,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,NULL,NULL,WASHINGTON,DC,20017,DISTRICT OF COLUMBIA,2022697000
90008,UNITED MEDICAL CENTER,1310 SOUTHERN AVENUE  SE,NULL,NULL,WASHINGTON,DC,20032,DISTRICT OF COLUMBIA,2025746611
90011,WASHINGTON HOSPITAL CENTER,110 IRVING ST NW,NULL,NULL,WASHINGTON,DC,20010,DISTRICT OF COLUMBIA,2028777000
100001,SHANDS JACKSONVILLE MEDICAL CENTER,655 W 8TH ST,NULL,NULL,JACKSONVILLE,FL,32209,DUVAL,9042440411
100002,BETHESDA MEMORIAL HOSPITAL,2815 SOUTH SEACREST BLVD,NULL,NULL,BOYNTON BEACH,FL,33435,PALM BEACH,5617377733
100006,ORLANDO REGIONAL HEALTHCARE,1414 S KUHL AVE,NULL,NULL,ORLANDO,FL,32806,ORANGE,3218415111
100007,FLORIDA HOSPITAL,601 E ROLLINS ST,NULL,NULL,ORLANDO,FL,32803,ORANGE,4073031976
100008,BAPTIST HOSPITAL OF MIAMI INC,8900 N KENDALL DR,NULL,NULL,MIAMI,FL,33176,MIAMI-DADE,7865961960
100009,UNIVERSITY OF MIAMI HOSPITAL,1400 NW 12TH AVE,NULL,NULL,MIAMI,FL,33136,MIAMI-DADE,3053255511
100012,LEE MEMORIAL HOSPITAL,2776 CLEVELAND AVE,NULL,NULL,FORT MYERS,FL,33901,LEE,2393321111
100014,BERT FISH MEDICAL CENTER,401 PALMETTO ST,NULL,NULL,NEW SMYRNA BEACH,FL,32170,VOLUSIA,3864245000
100017,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BOULEVARD,NULL,NULL,DAYTONA BEACH,FL,32114,VOLUSIA,3862544000
100018,NAPLES COMMUNITY HOSPITAL,350 7TH ST N,NULL,NULL,NAPLES,FL,34102,COLLIER,2394365000
100019,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,NULL,NULL,MELBOURNE,FL,32901,BREVARD,3214347000
100022,JACKSON HEALTH SYSTEM,1611 NW 12 AVE,NULL,NULL,MIAMI,FL,33136,MIAMI-DADE,3055851111
100023,CITRUS MEMORIAL HOSPITAL,502 HIGHLAND BLVD,NULL,NULL,INVERNESS,FL,34452,CITRUS,3527261551
100025,SACRED HEART HOSPITAL,5151 N 9TH AVE,NULL,NULL,PENSACOLA,FL,32504,ESCAMBIA,8504167000
100026,BAY MEDICAL CENTER,615 N BONITA AVE,NULL,NULL,PANAMA CITY,FL,32401,BAY,8507691511
100028,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,NULL,NULL,TITUSVILLE,FL,32796,BREVARD,3212686111
100029,NORTH SHORE MEDICAL CENTER,1100 NW 95TH ST,NULL,NULL,MIAMI,FL,33150,MIAMI-DADE,3058356000
100030,HEALTH CENTRAL,10000 W COLONIAL DR,NULL,NULL,OCOEE,FL,34761,ORANGE,4072961820
100032,BAYFRONT MEDICAL CENTER INC,701 6TH ST S,NULL,NULL,SAINT PETERSBURG,FL,33701,PINELLAS,7278231234
100034,MOUNT SINAI MEDICAL CENTER,4300 ALTON RD,NULL,NULL,MIAMI BEACH,FL,33140,MIAMI-DADE,3056742121
100035,MANATEE MEMORIAL HOSPITAL,206 2ND ST E,NULL,NULL,BRADENTON,FL,34208,MANATEE,9417465111
100038,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,NULL,NULL,HOLLYWOOD,FL,33021,BROWARD,9549872000
100039,BROWARD GENERAL MEDICAL CENTER,1600 S ANDREWS AVE,NULL,NULL,FORT LAUDERDALE,FL,33316,BROWARD,9543554400
100040,ST VINCENT'S MEDICAL CENTER,1 SHIRCLIFF WAY,NULL,NULL,JACKSONVILLE,FL,32204,DUVAL,9043087300
100043,MEASE HOSPITAL DUNEDIN,601 MAIN STREET,NULL,NULL,DUNEDIN,FL,34698,PINELLAS,7277331111
100044,MARTIN MEMORIAL MEDICAL CENTER,200 SE HOSPITAL AVE,NULL,NULL,STUART,FL,34995,MARTIN,7722875200
100045,FLORIDA HOSPITAL DELAND,701 W PLYMOUTH AVE,NULL,NULL,DELAND,FL,32720,VOLUSIA,3869434772
100046,FLORIDA HOSPITAL ZEPHYRHILLS,7050 GALL BLVD,NULL,NULL,ZEPHYRHILLS,FL,33541,PASCO,8137880411
100047,CHARLOTTE REGIONAL MEDICAL CENTER,809 E MARION AVE,NULL,NULL,PUNTA GORDA,FL,33950,CHARLOTTE,9416393131
100048,JAY HOSPITAL,14114 ALABAMA ST,NULL,NULL,JAY,FL,32565,SANTA ROSA,8506754532
100049,HIGHLANDS REGIONAL MEDICAL CENTER,3600 S HIGHLANDS AVE,NULL,NULL,SEBRING,FL,33870,HIGHLANDS,8633856101
100050,PALM SPRINGS GENERAL HOSPITAL,1475 W 49TH ST,NULL,NULL,HIALEAH,FL,33012,MIAMI-DADE,3055582500
100051,SOUTH LAKE HOSPITAL,1900 DON WICKHAM DR,NULL,NULL,CLERMONT,FL,34711,LAKE,3523944071
100052,WINTER HAVEN HOSPITAL,200 AVENUE F NE,NULL,NULL,WINTER HAVEN,FL,33881,POLK,8632931121
100053,HIALEAH HOSPITAL,651 E 25TH ST,NULL,NULL,HIALEAH,FL,33013,MIAMI-DADE,3056936100
100054,TWIN CITIES HOSPITAL,2190 HIGHWAY 85 NORTH,NULL,NULL,NICEVILLE,FL,32578,OKALOOSA,8506784131
100055,HELEN ELLIS MEMORIAL HOSPITAL,1395 S PINELLAS AVE,NULL,NULL,TARPON SPRINGS,FL,34689,PINELLAS,7279425000
100057,FLORIDA HOSPITAL WATERMAN,1000 WATERMAN WAY,NULL,NULL,TAVARES,FL,32778,LAKE,3522533300
100061,MERCY HOSPITAL INC,3663 S MIAMI AVE,NULL,NULL,MIAMI,FL,33133,MIAMI-DADE,3052852121
100062,MUNROE REGIONAL MEDICAL CENTER,1500 SW FIRST AVE,NULL,NULL,OCALA,FL,34474,MARION,3523517200
100063,MORTON PLANT NORTH BAY HOSPITAL,6600 MADISON STREET,NULL,NULL,NEW PORT RICHEY,FL,34652,PASCO,7278428468
100067,ST ANTHONY'S HOSPITAL,1200 7TH AVENUE NORTH,NULL,NULL,SAINT PETERSBURG,FL,33705,PINELLAS,7278251100
100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,301 MEMORIAL MEDICAL PARKWAY,NULL,NULL,DAYTONA BEACH,FL,32117,VOLUSIA,3866766000
100069,UNIVERSITY COMMUNITY HOSPITAL AT CARROLLWOOD,7171 NORTH DALE MABRY,NULL,NULL,TAMPA,FL,33614,HILLSBOROUGH,8139322222
100070,VENICE REGIONAL MEDICAL CENTER,540 THE RIALTO,NULL,NULL,VENICE,FL,34285,SARASOTA,9414857711
100071,BROOKSVILLE REGIONAL HOSPITAL,17240 CORTEZ BOULEVARD,NULL,NULL,BROOKSVILLE,FL,34601,HERNANDO,3527965111
100072,FLORIDA HOSPITAL FISH MEMORIAL,1055 SAXON BLVD,NULL,NULL,ORANGE CITY,FL,32763,VOLUSIA,3869175000
100073,HOLY CROSS HOSPITAL INC,4725 N FEDERAL HWY,NULL,NULL,FORT LAUDERDALE,FL,33308,BROWARD,9547718000
100075,ST JOSEPH'S HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,NULL,NULL,TAMPA,FL,33677,HILLSBOROUGH,8138704398
100076,METROPOLITAN HOSPITAL OF MIAMI,5959 NW 7TH ST,NULL,NULL,MIAMI,FL,33126,MIAMI-DADE,3052641000
100077,PEACE RIVER REGIONAL MEDICAL CENTER,2500 HARBOR BLVD,NULL,NULL,PORT CHARLOTTE,FL,33952,CHARLOTTE,9417664122
100080,JFK MEDICAL CENTER,5301 S CONGRESS AVE,NULL,NULL,ATLANTIS,FL,33462,PALM BEACH,5619657300
100081,HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,NULL,NULL,DEFUNIAK SPRINGS,FL,32435,WALTON,8509514500
100084,LEESBURG REGIONAL MEDICAL CENTER,600 E DIXIE AVENUE,NULL,NULL,LEESBURG,FL,34748,LAKE,3523235762
100086,NORTH BROWARD MEDICAL CENTER,201 E SAMPLE RD,NULL,NULL,POMPANO BEACH,FL,33064,BROWARD,9547866950
100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRAIL,NULL,NULL,SARASOTA,FL,34239,SARASOTA,9419179000
100088,BAPTIST MEDICAL CENTER,800 PRUDENTIAL DR,NULL,NULL,JACKSONVILLE,FL,32207,DUVAL,9042022000
100090,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,NULL,NULL,SAINT AUGUSTINE,FL,32086,SAINT JOHNS,9048194426
100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,110 LONGWOOD AVE,NULL,NULL,ROCKLEDGE,FL,32955,BREVARD,3216372603
100093,BAPTIST HOSPITAL,1000 WEST MORENO STREET,NULL,NULL,PENSACOLA,FL,32501,ESCAMBIA,8504344011
100099,LAKE WALES MEDICAL CENTER,410 S 11TH ST,NULL,NULL,LAKE WALES,FL,33853,POLK,8636761433
100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,368 NE FRANKLIN STREET,NULL,NULL,LAKE CITY,FL,32055,COLUMBIA,3867548000
100105,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,NULL,NULL,VERO BEACH,FL,32960,INDIAN RIVER,7725674311
100106,DOCTOR'S MEMORIAL HOSPITAL,333 NORTH BYRON BUTLER PARKWAY,NULL,NULL,PERRY,FL,32348,TAYLOR,8505840800
100107,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,NULL,NULL,LEHIGH ACRES,FL,33936,LEE,2393692101
100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CTR LAKE PLACID,4200 SUN N' LAKE BLVD,NULL,NULL,SEBRING,FL,33871,HIGHLANDS,8633144466
100110,OSCEOLA REGIONAL MEDICAL CENTER,700 WEST OAK STREET,NULL,NULL,KISSIMMEE,FL,34741,OSCEOLA,4078462266
100113,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,1600 SW ARCHER RD,NULL,NULL,GAINESVILLE,FL,32610,ALACHUA,3522658000
100117,BAPTIST MEDICAL CENTER  BEACHES,1350 13TH AVE SOUTH,NULL,NULL,JACKSONVILLE BEACH,FL,32250,DUVAL,9042472900
100118,FLORIDA HOSPITAL  FLAGLER,60 MEMORIAL MEDICAL PARKWAY,NULL,NULL,PALM COAST,FL,32164,FLAGLER,3865862000
100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,NULL,NULL,BARTOW,FL,33831,POLK,8635338111
100122,NORTH OKALOOSA MEDICAL CENTER,151 REDSTONE AVE SE,NULL,NULL,CRESTVIEW,FL,32539,OKALOOSA,8506898100
100124,SANTA ROSA MEDICAL CENTER,6002 BERRYHILL RD,NULL,NULL,MILTON,FL,32570,SANTA ROSA,8506267762
100125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,NULL,NULL,HOMESTEAD,FL,33033,MIAMI-DADE,7862438000
100126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE SOUTH,NULL,NULL,SAINT PETERSBURG,FL,33707,PINELLAS,7273811000
100127,MORTON PLANT HOSPITAL,300 PINELLAS ST,NULL,NULL,CLEARWATER,FL,33756,PINELLAS,7274627000
100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,NULL,NULL,TAMPA,FL,33606,HILLSBOROUGH,8138447000
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HIGHWAY,NULL,NULL,BELLE GLADE,FL,33430,PALM BEACH,5619966571
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,NULL,NULL,AVENTURA,FL,33180,MIAMI-DADE,3056827000
100132,SOUTH FLORIDA BAPTIST HOSPITAL,301 N ALEXANDER ST,NULL,NULL,PLANT CITY,FL,33563,HILLSBOROUGH,8137571200
100135,TALLAHASSEE MEMORIAL HEALTHCARE,1300 MICCOSUKEE RD,NULL,NULL,TALLAHASSEE,FL,32308,LEON,8504311155
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,NULL,NULL,DAVENPORT,FL,33837,POLK,8634224971
100139,TRI COUNTY HOSPITAL - WILLISTON,125 SW 7TH ST,NULL,NULL,WILLISTON,FL,32696,LEVY,3525282801
100140,BAPTIST MEDICAL CENTER  NASSAU,1250 S 18TH ST,NULL,NULL,FERNANDINA BEACH,FL,32034,NASSAU,9043213500
100142,JACKSON HOSPITAL,4250 HOSPITAL DRIVE,NULL,NULL,MARIANNA,FL,32446,JACKSON,8507182620
100150,LOWER KEYS MEDICAL CENTER,5900 COLLEGE ROAD,NULL,NULL,KEY WEST,FL,33040,MONROE,3052945531
100151,MAYO CLINIC,4500 SAN PABLO ROAD,NULL,NULL,JACKSONVILLE,FL,32224,DUVAL,9049532000
100154,"SOUTH MIAMI HOSPITAL, INC",6200 SW 73RD ST,NULL,NULL,SOUTH MIAMI,FL,33143,MIAMI-DADE,7866624000
100156,LAKE CITY MEDICAL CENTER,340 NW COMMERCE DRIVE,NULL,NULL,LAKE CITY,FL,32055,COLUMBIA,3867199000
100157,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,NULL,NULL,LAKELAND,FL,33805,POLK,8636871100
100161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,NULL,NULL,SANFORD,FL,32771,SEMINOLE,4073214500
100166,DOCTORS HOSPITAL OF SARASOTA,5731 BEE RIDGE ROAD,NULL,NULL,SARASOTA,FL,34233,SARASOTA,9413421100
100167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,NULL,NULL,PLANTATION,FL,33317,BROWARD,9545875010
100168,BOCA RATON REGIONAL HOSPITAL,800 MEADOWS RD,NULL,NULL,BOCA RATON,FL,33486,PALM BEACH,5613625002
100173,UNIVERSITY COMMUNITY HOSPITAL,3100 E FLETCHER AVE,NULL,NULL,TAMPA,FL,33613,HILLSBOROUGH,8136157200
100175,DESOTO MEMORIAL HOSPITAL,900 N ROBERT AVE,NULL,NULL,ARCADIA,FL,34265,DE SOTO,8634943535
100176,PALM BEACH GARDENS MEDICAL CENTER,3360 BURNS RD,NULL,NULL,PALM BEACH GARDENS,FL,33410,PALM BEACH,5616221411
100177,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CAUSEWAY,NULL,NULL,COCOA BEACH,FL,32932,BREVARD,3217997111
100179,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD SOUTH,NULL,NULL,JACKSONVILLE,FL,32216,DUVAL,9043996111
100180,ST PETERSBURG GENERAL HOSPITAL,6500 38TH AVE N,NULL,NULL,SAINT PETERSBURG,FL,33710,PINELLAS,7273841414
100181,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,NULL,NULL,SOUTH MIAMI,FL,33143,MIAMI-DADE,3052847500
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,NULL,NULL,CORAL GABLES,FL,33134,MIAMI-DADE,3054458461
100187,PALMETTO GENERAL HOSPITAL,2001 W 68TH ST,NULL,NULL,HIALEAH,FL,33016,MIAMI-DADE,3058235000
100189,NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,NULL,NULL,MARGATE,FL,33063,BROWARD,9549740400
100191,COMMUNITY HOSPITAL,5637 MARINE PKWY,NULL,NULL,NEW PORT RICHEY,FL,34652,PASCO,7278481733
100200,IMPERIAL POINT MEDICAL CENTER,6401 NORTH FEDERAL HIGHWAY,NULL,NULL,FORT LAUDERDALE,FL,33308,BROWARD,9547768500
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY ROAD,NULL,NULL,GAINESVILLE,FL,32605,ALACHUA,3523334100
100206,MEMORIAL HOSPITAL OF TAMPA,2901 SWANN AVE,NULL,NULL,TAMPA,FL,33609,HILLSBOROUGH,8138736400
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,NULL,NULL,MIAMI,FL,33175,MIAMI-DADE,3052233000
100211,PASCO REGIONAL MEDICAL CENTER,13100 FT KING ROAD,NULL,NULL,DADE CITY,FL,33525,PASCO,3525683174
100212,OCALA REGIONAL MEDICAL CENTER,1431 SW FIRST AVE,NULL,NULL,OCALA,FL,34478,MARION,3524011000
100213,BLAKE MEDICAL CENTER,2020 59TH ST W,NULL,NULL,BRADENTON,FL,34209,MANATEE,9417926611
100217,SEBASTIAN RIVER MEDICAL CENTER,13695 U S HIGHWAY 1,NULL,NULL,SEBASTIAN,FL,32978,INDIAN RIVER,7725893187
100220,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,13681 DOCTOR'S WAY,NULL,NULL,FORT MYERS,FL,33912,LEE,2397685000
100223,FORT WALTON BEACH MEDICAL CENTER,1000 MAR WALT DR,NULL,NULL,FORT WALTON BEACH,FL,32547,OKALOOSA,8508621111
100224,UNIVERSITY HOSPITAL & MEDICAL CENTER,7201 N UNIVERSITY DR,NULL,NULL,TAMARAC,FL,33321,BROWARD,9547212200
100226,ORANGE PARK MEDICAL CENTER INC,2001 KINGSLEY AVE,NULL,NULL,ORANGE PARK,FL,32073,CLAY,9042768500
100228,WESTSIDE REGIONAL MEDICAL CENTER,8201 W BROWARD BLVD,NULL,NULL,PLANTATION,FL,33324,BROWARD,9544736600
100230,MEMORIAL HOSPITAL PEMBROKE,7800 SHERIDAN STREET,NULL,NULL,PEMBROKE PINES,FL,33024,BROWARD,9549629650
100231,WEST FLORIDA HOSPITAL,8383 N DAVIS HIGHWAY,NULL,NULL,PENSACOLA,FL,32514,ESCAMBIA,8504944000
100232,PUTNAM COMMUNITY MEDICAL CENTER,611 ZEAGLER DRIVE,NULL,NULL,PALATKA,FL,32177,PUTNAM,3863268500
100234,COLUMBIA HOSPITAL,2201 45TH ST,NULL,NULL,WEST PALM BEACH,FL,33407,PALM BEACH,5618446141
100236,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,NULL,NULL,PORT CHARLOTTE,FL,33952,CHARLOTTE,9416291181
100238,NORTHSIDE HOSPITAL,6000 49TH STREET N,NULL,NULL,SAINT PETERSBURG,FL,33709,PINELLAS,8135215000
100239,EDWARD WHITE HOSPITAL,2323 9TH AVE N,NULL,NULL,SAINT PETERSBURG,FL,33713,PINELLAS,7273231111
100240,ANNE BATES LEACH EYE HOSPITAL,900 NW 17TH ST,NULL,NULL,MIAMI,FL,33136,MIAMI-DADE,3053266000
100242,GULF COAST MEDICAL CENTER,449 W 23RD ST,NULL,NULL,PANAMA CITY,FL,32405,BAY,8507477926
100243,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,NULL,NULL,BRANDON,FL,33511,HILLSBOROUGH,8136815551
100244,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,NULL,NULL,CAPE CORAL,FL,33990,LEE,2395742323
100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,NULL,NULL,FORT PIERCE,FL,34950,SAINT LUCIE,7724614000
100248,LARGO MEDICAL CENTER,201 14TH ST SW,NULL,NULL,LARGO,FL,33770,PINELLAS,7275885200
100249,SEVEN RIVERS REGIONAL MEDICAL CENTER,6201 N SUNCOAST BLVD,NULL,NULL,CRYSTAL RIVER,FL,34428,CITRUS,3527956560
100252,RAULERSON HOSPITAL,1796 HIGHWAY 441 N,NULL,NULL,OKEECHOBEE,FL,34972,OKEECHOBEE,8637632151
100253,JUPITER MEDICAL CENTER,1210 S OLD DIXIE HIGHWAY,NULL,NULL,JUPITER,FL,33458,PALM BEACH,5617472234
100254,CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD,NULL,NULL,TALLAHASSEE,FL,32308,LEON,8506565000
100255,TOWN & COUNTRY HOSPITAL,6001 WEBB RD,NULL,NULL,TAMPA,FL,33615,HILLSBOROUGH,8138827159
100256,REGIONAL MEDICAL CENTER BAYONET POINT,14000 FIVAY ROAD,NULL,NULL,HUDSON,FL,34667,PASCO,7278192929
100258,DELRAY MEDICAL CENTER,5352 LINTON BLVD,NULL,NULL,DELRAY BEACH,FL,33484,PALM BEACH,5614984440
100259,SOUTH BAY HOSPITAL,4016 SUN CITY CENTER BLVD,NULL,NULL,SUN CITY CENTER,FL,33573,HILLSBOROUGH,8136343301
100260,ST. LUCIE MEDICAL CENTER,1800 SE TIFFANY AVENUE,NULL,NULL,PORT SAINT LUCIE,FL,34952,SAINT LUCIE,7723354000
100264,OAK HILL HOSPITAL,11375 CORTEZ BLVD,NULL,NULL,BROOKSVILLE,FL,34613,HERNANDO,3525966632
100265,MEASE COUNTRYSIDE HOSPITAL,3231 MCMULLEN BOOTH RD,NULL,NULL,SAFETY HARBOR,FL,34695,PINELLAS,7277346950
100266,GULF BREEZE HOSPITAL,1110 GULF BREEZE PARKWAY,NULL,NULL,GULF BREEZE,FL,32561,SANTA ROSA,8509342000
100267,ENGLEWOOD COMMUNITY HOSPITAL,700 MEDICAL BLVD,NULL,NULL,ENGLEWOOD,FL,34223,SARASOTA,9414756571
100268,WEST BOCA MEDICAL CENTER,21644 STATE RD 7,NULL,NULL,BOCA RATON,FL,33428,PALM BEACH,5614888000
100269,PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,NULL,NULL,LOXAHATCHEE,FL,33470,PALM BEACH,5617534245
100275,WELLINGTON REGIONAL MEDICAL CENTER,10101 FOREST HILL BLVD,NULL,NULL,WELLINGTON,FL,33414,PALM BEACH,5617988500
