Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County Name,Phone Number,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Footnote - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Lower Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Number of Patients - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Footnote - Hospital 30-Day Death (Mortality) Rates from Pneumonia,Hospital 30-Day Readmission Rates from Heart Attack,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Attack,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Attack,Number of Patients - Hospital 30-Day Readmission Rates from Heart Attack,Footnote - Hospital 30-Day Readmission Rates from Heart Attack,Hospital 30-Day Readmission Rates from Heart Failure,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Heart Failure,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Heart Failure,Number of Patients - Hospital 30-Day Readmission Rates from Heart Failure,Footnote - Hospital 30-Day Readmission Rates from Heart Failure,Hospital 30-Day Readmission Rates from Pneumonia,Comparison to U.S. Rate - Hospital 30-Day Readmission Rates from Pneumonia,Lower Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Upper Readmission Estimate - Hospital 30-Day Readmission Rates from Pneumonia,Number of Patients - Hospital 30-Day Readmission Rates from Pneumonia,Footnote - Hospital 30-Day Readmission Rates from Pneumonia
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,NULL,NULL,VALLEJO,CA,94589,SOLANO,7076511000,NULL,Number of Cases Too Small,NULL,NULL,   22,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.3,No Different than U.S. National Rate,7.7,16.3,   27,,12.7,No Different than U.S. National Rate,8.4,18.6,   32,,NULL,Number of Cases Too Small,NULL,NULL,   18,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.9,No Different than U.S. National Rate,20.4,32.5,   27,,18.4,No Different than U.S. National Rate,14.0,23.8,   28,
050075,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND,280 W MAC ARTHUR BLVD,NULL,NULL,OAKLAND,CA,94611,ALAMEDA,5107521000,17.2,No Different than U.S. National Rate,12.9,22.5,   31,,11.3,No Different than U.S. National Rate,7.6,16.3,   36,,11.7,No Different than U.S. National Rate,7.8,17.5,   42,,NULL,Number of Cases Too Small,NULL,NULL,   15,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.1,No Different than U.S. National Rate,18.4,28.7,   43,,20.2,No Different than U.S. National Rate,15.6,25.5,   40,
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,NULL,NULL,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4158332646,NULL,Number of Cases Too Small,NULL,NULL,   13,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   19,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    8,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,NULL,NULL,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,15.5,No Different than U.S. National Rate,12.7,18.8,  309,, 8.7,Better than U.S. National Rate,7.2,10.6,  689,, 8.9,Better than U.S. National Rate,7.2,10.9,  576,,20.6,No Different than U.S. National Rate,17.6,23.9,  295,,23.8,No Different than U.S. National Rate,21.3,26.4,  813,,19.3,No Different than U.S. National Rate,16.9,22.0,  592,
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,NULL,NULL,SAN PEDRO,CA,90732,LOS ANGELES,3108323311,18.1,No Different than U.S. National Rate,13.5,23.8,   35,,12.3,No Different than U.S. National Rate,9.3,16.1,  160,,14.2,No Different than U.S. National Rate,10.7,18.4,  182,,NULL,Number of Cases Too Small,NULL,NULL,   20,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.5,No Different than U.S. National Rate,21.5,29.9,  188,,19.3,No Different than U.S. National Rate,15.8,23.3,  177,
050079,DOCTORS MEDICAL CENTER-SAN PABLO,2000 VALE RD,NULL,NULL,SAN PABLO,CA,94806,CONTRA COSTA,5109705000,14.3,No Different than U.S. National Rate,11.2,18.0,  132,,10.6,No Different than U.S. National Rate,8.4,13.3,  312,,14.0,No Different than U.S. National Rate,11.2,17.3,  259,,19.8,No Different than U.S. National Rate,16.6,23.5,  151,,25.1,No Different than U.S. National Rate,21.9,28.8,  360,,19.2,No Different than U.S. National Rate,16.1,22.7,  253,
050082,ST JOHNS REGIONAL MEDICAL CENTER,1600 N ROSE AVE,NULL,NULL,OXNARD,CA,93030,VENTURA,8059882500,15.3,No Different than U.S. National Rate,12.0,19.2,  186,,10.9,No Different than U.S. National Rate,8.6,13.8,  349,,12.2,No Different than U.S. National Rate,10.0,14.8,  411,,19.6,No Different than U.S. National Rate,16.4,23.2,  196,,24.4,No Different than U.S. National Rate,21.2,27.5,  379,,20.1,No Different than U.S. National Rate,17.3,23.3,  420,
050084,ST JOSEPHS MED CENTER OF STOCKTON,1800 N CALIFORNIA ST,NULL,NULL,STOCKTON,CA,95204,SAN JOAQUIN,2099432000,17.9,No Different than U.S. National Rate,14.6,21.7,  253,,13.5,Worse than U.S. National Rate,11.4,15.9,  699,,18.1,Worse than U.S. National Rate,15.7,20.7,  704,,18.4,No Different than U.S. National Rate,15.5,21.7,  266,,22.7,No Different than U.S. National Rate,20.3,25.5,  777,,18.5,No Different than U.S. National Rate,16.1,20.9,  670,
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,1805 MEDICAL CENTER DRIVE,NULL,NULL,SAN BERNARDINO,CA,92411,SAN BERNARDINO,9098876333,14.1,No Different than U.S. National Rate,10.4,18.7,   33,,11.6,No Different than U.S. National Rate,8.3,16.0,   91,,10.4,No Different than U.S. National Rate,7.6,14.2,  120,,NULL,Number of Cases Too Small,NULL,NULL,   23,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,23.2,No Different than U.S. National Rate,19.0,27.7,  106,,17.5,No Different than U.S. National Rate,14.1,21.2,  122,
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,NULL,NULL,SONOMA,CA,95476,SONOMA,7079355106,15.1,No Different than U.S. National Rate,11.6,19.2,   51,, 9.8,No Different than U.S. National Rate,7.3,13.1,  110,,12.2,No Different than U.S. National Rate,9.0,15.9,  109,,19.4,No Different than U.S. National Rate,15.6,23.9,   42,,23.2,No Different than U.S. National Rate,18.8,28.2,  122,,16.6,No Different than U.S. National Rate,13.3,20.8,  106,
050091,COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK,2623 E SLAUSON AVE,NULL,NULL,HUNTINGTON PARK,CA,90255,LOS ANGELES,3235831931,NULL,Number of Cases Too Small,NULL,NULL,   14,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>, 9.8,No Different than U.S. National Rate,6.7,13.9,   66,,11.5,No Different than U.S. National Rate,7.8,16.2,   77,,NULL,Number of Cases Too Small,NULL,NULL,    9,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.7,No Different than U.S. National Rate,21.0,30.9,   89,,17.0,No Different than U.S. National Rate,13.4,21.6,   76,
050093,SAINT AGNES MEDICAL CENTER,1303 E HERNDON AVE,NULL,NULL,FRESNO,CA,93710,FRESNO,5594503000,16.5,No Different than U.S. National Rate,14.3,18.9,  683,,12.5,No Different than U.S. National Rate,11.0,14.2, 1162,,13.4,Worse than U.S. National Rate,11.8,15.1, 1160,,20.3,No Different than U.S. National Rate,17.9,22.8,  645,,24.3,No Different than U.S. National Rate,22.3,26.3, 1373,,18.2,No Different than U.S. National Rate,16.3,20.3, 1158,
050095,LAUREL GROVE HOSPITAL,19933 LAKE CHABOT RD,NULL,NULL,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure
050096,"DOCTORS HOSPITAL OF WEST COVINA, INC",725 S ORANGE AVE,NULL,NULL,WEST COVINA,CA,91790,LOS ANGELES,6263388481,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,NULL,NULL,NULL,NULL,No data is available from the hospital for this measure,NULL,Number of Cases Too Small,NULL,NULL,    3,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,    4,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>
050099,SAN ANTONIO COMMUNITY HOSPITAL,999 SAN BERNARDINO RD,NULL,NULL,UPLAND,CA,91786,SAN BERNARDINO,7149852811,18.8,No Different than U.S. National Rate,15.1,23.2,  155,,11.4,No Different than U.S. National Rate,9.0,14.2,  363,,10.8,No Different than U.S. National Rate,8.6,13.3,  401,,18.4,No Different than U.S. National Rate,15.2,22.2,  142,,23.7,No Different than U.S. National Rate,20.7,27.1,  431,,15.6,No Different than U.S. National Rate,13.2,18.4,  443,
050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,NULL,NULL,SAN DIEGO,CA,92123,SAN DIEGO,8589393400,15.5,No Different than U.S. National Rate,12.3,19.2,  212,,12.2,No Different than U.S. National Rate,9.7,15.2,  345,,14.4,Worse than U.S. National Rate,11.7,17.4,  393,,20.2,No Different than U.S. National Rate,17.0,23.7,  238,,25.6,No Different than U.S. National Rate,22.3,29.2,  421,,17.8,No Different than U.S. National Rate,15.0,21.0,  406,
050101,SUTTER SOLANO MEDICAL CENTER,300 HOSPITAL DR,NULL,NULL,VALLEJO,CA,94589,SOLANO,7075545280,18.0,No Different than U.S. National Rate,14.3,22.5,   92,,10.5,No Different than U.S. National Rate,7.9,13.7,  189,,14.6,No Different than U.S. National Rate,11.3,18.4,  131,,20.8,No Different than U.S. National Rate,17.1,24.9,   57,,25.0,No Different than U.S. National Rate,21.3,29.4,  224,,20.2,No Different than U.S. National Rate,16.4,24.6,  127,
050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,3865 JACKSON STREET,NULL,NULL,RIVERSIDE,CA,92503,RIVERSIDE,9516882211,17.2,No Different than U.S. National Rate,13.4,21.9,   60,,10.7,No Different than U.S. National Rate,8.0,14.2,  123,,14.2,No Different than U.S. National Rate,11.2,17.5,  225,,20.5,No Different than U.S. National Rate,16.7,24.9,   32,,24.1,No Different than U.S. National Rate,20.2,28.3,  129,,20.0,No Different than U.S. National Rate,16.8,23.6,  241,
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,NULL,NULL,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,14.1,No Different than U.S. National Rate,10.7,18.1,  125,, 9.9,No Different than U.S. National Rate,7.7,12.7,  270,, 9.5,No Different than U.S. National Rate,7.4,11.9,  242,,20.4,No Different than U.S. National Rate,17.0,23.9,  142,,24.8,No Different than U.S. National Rate,21.5,28.3,  342,,19.4,No Different than U.S. National Rate,16.4,22.6,  248,
050104,SAINT FRANCIS MEDICAL CENTER,3630 EAST IMPERIAL HIGHWAY,NULL,NULL,LYNWOOD,CA,90262,LOS ANGELES,3109008900,15.3,No Different than U.S. National Rate,11.7,19.5,   75,,10.5,No Different than U.S. National Rate,8.2,13.5,  264,,11.2,No Different than U.S. National Rate,8.4,14.9,  123,,18.9,No Different than U.S. National Rate,15.5,22.7,   69,,24.2,No Different than U.S. National Rate,20.9,27.7,  328,,19.7,No Different than U.S. National Rate,16.0,23.9,  129,
050107,MARIAN MEDICAL CENTER,1400 E CHURCH ST,NULL,NULL,SANTA MARIA,CA,93454,SANTA BARBARA,8057393000,18.7,No Different than U.S. National Rate,15.5,22.3,  208,,14.7,Worse than U.S. National Rate,11.9,17.7,  343,,12.6,No Different than U.S. National Rate,10.1,15.6,  391,,20.0,No Different than U.S. National Rate,16.9,23.8,  183,,23.5,No Different than U.S. National Rate,20.3,26.9,  380,,16.6,No Different than U.S. National Rate,14.0,19.5,  396,
050108,SUTTER GENERAL HOSPITAL,2801 L STREET,NULL,NULL,SACRAMENTO,CA,95816,SACRAMENTO,9167338999,17.5,No Different than U.S. National Rate,14.3,20.9,  313,,11.3,No Different than U.S. National Rate,9.4,13.7,  474,,11.4,No Different than U.S. National Rate,9.4,13.6,  558,,19.2,No Different than U.S. National Rate,16.4,22.4,  384,,24.3,No Different than U.S. National Rate,21.5,27.4,  590,,18.7,No Different than U.S. National Rate,16.2,21.5,  570,
050110,LOMPOC VALLEY MEDICAL CENTER,1515 E OCEAN AVENUE,NULL,NULL,LOMPOC,CA,93436,SANTA BARBARA,8057373300,NULL,Number of Cases Too Small,NULL,NULL,   21,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,11.4,No Different than U.S. National Rate,8.4,15.2,  116,,18.1,Worse than U.S. National Rate,14.1,22.8,  132,,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,24.5,No Different than U.S. National Rate,20.2,29.4,  124,,16.2,No Different than U.S. National Rate,12.7,20.4,  108,
050111,TEMPLE COMMUNITY HOSPITAL,235 N HOOVER ST,NULL,NULL,LOS ANGELES,CA,90004,LOS ANGELES,2133827252,15.2,No Different than U.S. National Rate,11.3,19.9,   31,,10.6,No Different than U.S. National Rate,7.9,14.0,  115,,10.8,No Different than U.S. National Rate,7.9,14.5,   96,,20.7,No Different than U.S. National Rate,17.1,24.8,   32,,26.4,No Different than U.S. National Rate,22.3,30.8,  137,,18.3,No Different than U.S. National Rate,14.8,22.2,   92,
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,NULL,NULL,SANTA MONICA,CA,90404,LOS ANGELES,3103194000,14.8,No Different than U.S. National Rate,12.0,18.3,  145,,10.1,No Different than U.S. National Rate,8.1,12.6,  293,, 9.4,No Different than U.S. National Rate,7.4,11.9,  289,,20.7,No Different than U.S. National Rate,17.4,24.6,  132,,25.8,No Different than U.S. National Rate,22.7,29.2,  385,,18.6,No Different than U.S. National Rate,15.8,21.9,  321,
050113,SAN MATEO MEDICAL CENTER,222 W 39TH AVE,NULL,NULL,SAN MATEO,CA,94403,SAN MATEO,6505732222,NULL,Number of Cases Too Small,NULL,NULL,   14,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,NULL,Number of Cases Too Small,NULL,NULL,   17,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,12.7,No Different than U.S. National Rate,8.8,18.3,   34,,NULL,Number of Cases Too Small,NULL,NULL,    7,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,25.0,No Different than U.S. National Rate,19.9,31.3,   28,,17.1,No Different than U.S. National Rate,13.2,21.9,   35,
050115,PALOMAR MEDICAL CENTER,555 E VALLEY PARKWAY,NULL,NULL,ESCONDIDO,CA,92025,SAN DIEGO,7607393000,14.0,No Different than U.S. National Rate,11.0,17.3,  225,,13.4,No Different than U.S. National Rate,10.9,16.6,  310,,12.9,No Different than U.S. National Rate,10.2,16.0,  264,,19.8,No Different than U.S. National Rate,16.6,23.3,  247,,22.3,No Different than U.S. National Rate,19.0,25.9,  354,,16.7,No Different than U.S. National Rate,13.7,20.1,  272,
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BLVD,NULL,NULL,NORTHRIDGE,CA,91325,LOS ANGELES,8188858500,16.5,No Different than U.S. National Rate,13.3,20.1,  185,, 9.6,No Different than U.S. National Rate,7.6,12.2,  314,,11.0,No Different than U.S. National Rate,8.6,13.9,  265,,19.4,No Different than U.S. National Rate,16.2,23.0,  168,,25.3,No Different than U.S. National Rate,21.9,28.9,  373,,17.3,No Different than U.S. National Rate,14.3,20.5,  265,
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH ST,NULL,NULL,MANTECA,CA,95336,SAN JOAQUIN,2098233111,17.7,No Different than U.S. National Rate,13.5,22.6,   51,,11.0,No Different than U.S. National Rate,8.3,14.3,  199,,13.2,No Different than U.S. National Rate,10.1,17.0,  163,,19.5,No Different than U.S. National Rate,15.7,23.8,   35,,26.2,No Different than U.S. National Rate,22.5,30.3,  233,,20.2,No Different than U.S. National Rate,16.5,24.8,  152,
050121,HANFORD COMMUNITY MEDICAL CENTER,450 GREENFIELD AVE,NULL,NULL,HANFORD,CA,93230,KINGS,5595829000,20.1,No Different than U.S. National Rate,16.0,24.8,  131,,13.2,No Different than U.S. National Rate,10.7,16.2,  298,,15.9,Worse than U.S. National Rate,13.2,19.1,  419,,21.4,No Different than U.S. National Rate,17.6,25.5,   64,,26.2,No Different than U.S. National Rate,22.9,30.0,  343,,17.6,No Different than U.S. National Rate,14.8,20.7,  422,
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,NULL,NULL,STOCKTON,CA,95203,SAN JOAQUIN,2099445550,16.0,No Different than U.S. National Rate,12.0,21.1,   60,,12.0,No Different than U.S. National Rate,8.9,16.3,  115,,16.7,Worse than U.S. National Rate,13.4,20.6,  178,,20.1,No Different than U.S. National Rate,16.3,24.5,   64,,27.0,No Different than U.S. National Rate,22.8,31.9,  128,,20.0,No Different than U.S. National Rate,16.6,24.2,  162,
050124,VERDUGO HILLS HOSPITAL,1812 VERDUGO BLVD,NULL,NULL,GLENDALE,CA,91209,LOS ANGELES,8187907100,16.0,No Different than U.S. National Rate,12.3,20.6,   71,,10.4,No Different than U.S. National Rate,7.8,13.6,  153,,12.9,No Different than U.S. National Rate,10.3,16.0,  199,,19.7,No Different than U.S. National Rate,15.8,23.7,   36,,23.8,No Different than U.S. National Rate,20.0,28.1,  181,,18.5,No Different than U.S. National Rate,15.2,22.1,  201,
050125,REGIONAL MEDICAL CENTER OF SAN JOSE,225 N JACKSON AVENUE,NULL,NULL,SAN JOSE,CA,95116,SANTA CLARA,4082595000,16.9,No Different than U.S. National Rate,13.4,21.0,  160,, 9.8,No Different than U.S. National Rate,7.7,12.3,  420,,10.4,No Different than U.S. National Rate,8.3,12.8,  442,,20.5,No Different than U.S. National Rate,17.0,24.2,  136,,28.2,Worse than U.S. National Rate,25.0,31.9,  485,,20.8,No Different than U.S. National Rate,17.9,24.1,  462,
050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,NULL,NULL,VAN NUYS,CA,91406,LOS ANGELES,8189023906,18.1,No Different than U.S. National Rate,14.5,22.2,  143,,10.9,No Different than U.S. National Rate,8.6,13.6,  299,,12.0,No Different than U.S. National Rate,9.7,14.5,  313,,19.6,No Different than U.S. National Rate,16.4,23.4,  139,,24.8,No Different than U.S. National Rate,21.4,28.4,  345,,18.5,No Different than U.S. National Rate,15.8,21.6,  321,
050127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,NULL,NULL,WOODLAND,CA,95695,YOLO,5306623961,18.6,No Different than U.S. National Rate,14.0,24.0,   33,,13.8,No Different than U.S. National Rate,10.1,18.6,   75,,12.9,No Different than U.S. National Rate,9.5,17.4,   96,,NULL,Number of Cases Too Small,NULL,NULL,   18,The number of cases is too small (fewer than 25) to reliably tell how well the hospital is performing. <a href="staticpages/outcome-too-few-patients.aspx" target="_new" title="Click here to learn why this hospital's rates aren't shown - Opens in a new window"><b>Click here for more information</b></a>,22.2,No Different than U.S. National Rate,18.3,26.9,  103,,18.0,No Different than U.S. National Rate,14.3,22.3,   95,
050128,TRI-CITY MEDICAL CENTER,4002 VISTA WAY,NULL,NULL,OCEANSIDE,CA,92056,SAN DIEGO,7607248411,17.4,No Different than U.S. National Rate,14.3,20.6,  233,,13.4,No Different than U.S. National Rate,10.8,16.3,  369,,15.1,Worse than U.S. National Rate,12.6,17.9,  464,,16.1,Better than U.S. National Rate,13.4,19.3,  228,,21.5,No Different than U.S. National Rate,18.5,24.9,  428,,16.8,No Different than U.S. National Rate,14.4,19.7,  493,
050129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,NULL,NULL,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098814440,14.0,No Different than U.S. National Rate,11.0,17.6,  200,,11.4,No Different than U.S. National Rate,8.9,14.5,  273,,11.3,No Different than U.S. National Rate,8.8,14.1,  232,,21.7,No Different than U.S. National Rate,18.7,25.0,  344,,25.3,No Different than U.S. National Rate,22.0,28.7,  339,,19.5,No Different than U.S. National Rate,16.5,23.1,  248,
050131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,NULL,NULL,NOVATO,CA,94945,MARIN,4152091300,16.9,No Different than U.S. National Rate,12.9,21.5,   40,,10.4,No Different than U.S. National Rate,7.5,14.1,  103,, 9.4,No Different than U.S. National Rate,6.7,12.9,  101,,19.8,No Different than U.S. National Rate,16.0,24.0,   36,,21.2,No Different than U.S. National Rate,17.4,25.9,  114,,16.7,No Different than U.S. National Rate,13.3,20.4,  111,
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,NULL,NULL,SAN GABRIEL,CA,91778,LOS ANGELES,6262895454,16.0,No Different than U.S. National Rate,12.8,19.7,  100,, 9.3,No Different than U.S. National Rate,7.3,11.6,  250,, 8.7,Better than U.S. National Rate,7.1,10.6,  364,,20.1,No Different than U.S. National Rate,16.5,24.3,   59,,29.0,Worse than U.S. National Rate,25.3,32.9,  292,,18.5,No Different than U.S. National Rate,15.9,21.4,  373,
050133,RIDEOUT MEMORIAL HOSPITAL,726 4TH ST,NULL,NULL,MARYSVILLE,CA,95901,YUBA,5307494300,16.7,No Different than U.S. National Rate,13.6,20.2,  249,,14.6,Worse than U.S. National Rate,12.0,17.5,  448,,12.8,No Different than U.S. National Rate,10.8,15.2,  655,,20.5,No Different than U.S. National Rate,17.3,23.8,  268,,22.0,No Different than U.S. National Rate,19.1,24.9,  542,,17.5,No Different than U.S. National Rate,15.2,19.9,  678,
